Geography,Start Year,End Year,Year,Sex,Age Group,Race/Ethnicity,Topic,Sub-topic,Category,Sub-Category,Denominator,Case Count,Measurement,Lower CI,Upper CI,Statistical Significance,Stability,Measurement Unit
Boston Region,2007,N/A,2007,Total,Total all ages,All Races - Ethnicities,Hospitalization - Drug Overdose,Total All Drug Overdoses,Admissions/Observations,Drug Overdoses,770614,1200,159.5,150.5,168.5,Statistically significantly higher,Stable,"Age-Adjusted Rate per 100,000"
Boston Region,2008,N/A,2008,Total,Total all ages,All Races - Ethnicities,Hospitalization - Drug Overdose,Total All Drug Overdoses,Admissions/Observations,Drug Overdoses,773992,1259,163.5,154.5,172.5,Statistically significantly higher,Stable,"Age-Adjusted Rate per 100,000"
Boston Region,2009,N/A,2009,Total,Total all ages,All Races - Ethnicities,Hospitalization - Drug Overdose,Total All Drug Overdoses,Admissions/Observations,Drug Overdoses,777382,1286,164.4,155.4,173.4,Statistically significantly higher,Stable,"Age-Adjusted Rate per 100,000"
Boston Region,2010,N/A,2010,Total,Total all ages,All Races - Ethnicities,Hospitalization - Drug Overdose,Total All Drug Overdoses,Admissions/Observations,Drug Overdoses,780705.09144759,1287,168,158.8,177.2,Statistically significantly higher,Stable,"Age-Adjusted Rate per 100,000"
Boston Region,2011,N/A,2011,Total,Total all ages,All Races - Ethnicities,Hospitalization - Drug Overdose,Total All Drug Overdoses,Admissions/Observations,Drug Overdoses,796680.6832062,1368,173.8,164.6,183,Statistically significantly higher,Stable,"Age-Adjusted Rate per 100,000"
Boston Region,2012,N/A,2012,Total,Total all ages,All Races - Ethnicities,Hospitalization - Drug Overdose,Total All Drug Overdoses,Admissions/Observations,Drug Overdoses,811350.0728448,1412,175.4,166.3,184.5,Statistically significantly higher,Stable,"Age-Adjusted Rate per 100,000"
Boston Region,2013,N/A,2013,Total,Total all ages,All Races - Ethnicities,Hospitalization - Drug Overdose,Total All Drug Overdoses,Admissions/Observations,Drug Overdoses,824295.95669485,1431,172.6,163.7,181.5,Statistically significantly higher,Stable,"Age-Adjusted Rate per 100,000"
Boston Region,2014,N/A,2014,Total,Total all ages,All Races - Ethnicities,Hospitalization - Drug Overdose,Total All Drug Overdoses,Admissions/Observations,Drug Overdoses,835884.51471675,1259,151.5,143.1,159.9,Statistically significantly higher,Stable,"Age-Adjusted Rate per 100,000"
Central Region,2007,N/A,2007,Total,Total all ages,All Races - Ethnicities,Hospitalization - Drug Overdose,Total All Drug Overdoses,Admissions/Observations,Drug Overdoses,844196,892,104.3,97.5,111.1,Not statistically significantly different,Stable,"Age-Adjusted Rate per 100,000"
Central Region,2008,N/A,2008,Total,Total all ages,All Races - Ethnicities,Hospitalization - Drug Overdose,Total All Drug Overdoses,Admissions/Observations,Drug Overdoses,849294,983,114.8,107.6,122,Not statistically significantly different,Stable,"Age-Adjusted Rate per 100,000"
